id|matchNo|teamNo|autoCrossLineTry|autoCrossLineSuccess|autoBoxToSwitchTry|autoBoxToSwitchCount|autoBoxToWrongSwitchTry|autoBoxToWrongSwitchCount|autoBoxToScaleTry|autoBoxToScaleCount|autoBoxToWrongScaleTry|autoBoxToWrongScaleCount|autoEndWithNewCube|teleBoxToSwitchCount|teleBoxToScaleCount|teleBoxToOpponentSwitchCount|teleBoxToExchangeCount|teleDroppedBoxCount|teleDefenseType|tippedBot|deadBot|recoveredTippedBot|recoveredDeadBot|penaltyStandardFoul|penaltyTechnicalFoul|penaltyYellowCard|penaltyRedCard|endParked|endClimbedType|endClimbedRampSingle|endClimbedRampDouble|endClimbedExtendBar|endCubeAttainment|endScoringAbility|postComments
71|"19"|"4522"|0|1|0|0|0|0|0|0|0|0|0|2|3|0|0|2|"Did not"|0|0|0|0|0|0|0|0|0|"Center"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
72|"19"|"1730"|0|1|0|1|0|0|0|1|0|0|1|0|2|1|0|3|"Did not"|0|0|0|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
73|"19"|"4786"|0|1|0|1|0|0|0|0|0|0|0|0|0|0|3|0|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on exchang"|"has ramp"
74|"19"|"1785"|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|"Did not"|1|0|1|0|0|0|0|0|1|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on exchang"|"slow drive teqam was jerky"
75|"19"|"3184"|0|0|0|0|0|0|0|0|0|0|0|1|2|2|0|0|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|""
76|"19"|"6420"|0|0|0|0|0|0|0|1|0|0|0|2|0|0|1|2|"Did not"|0|0|0|0|0|0|0|0|0|"Attempt"|0|0|1|"Picked up cubes from"|"Can score on low sca"|""
77|"20"|"938"|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|"Did not"|0|0|0|0|1|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on switch"|""
78|"20"|"6359"|0|1|0|0|0|0|0|0|0|0|0|0|4|0|0|1|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on high sc"|"slow"
79|"20"|"1997"|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can score on exchang"|""
80|"20"|"2001"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|"Did not"|0|0|0|0|0|0|0|0|0|"Did not Try"|0|0|0|"Picked up cubes from"|"Can not/did not use "|""
